,Sensor No,Temp,Time
208,17,27.5692,2021-06-01 15:10:29
209,17,27.5783,2021-06-01 15:25:10
210,17,27.5783,2021-06-01 15:26:03
211,17,27.5783,2021-06-01 15:26:13
212,17,27.5783,2021-06-01 15:26:38
213,17,27.5783,2021-06-01 15:28:24
214,17,27.5783,2021-06-01 15:30:08
215,17,27.5783,2021-06-01 15:33:08
216,17,27.5783,2021-06-01 15:36:16
217,17,27.5783,2021-06-01 15:38:00
218,17,27.5783,2021-06-01 15:38:13
219,17,27.5281,2021-06-01 15:52:19
220,17,27.5281,2021-06-01 15:53:16
221,17,27.5281,2021-06-01 15:54:14
222,17,27.5281,2021-06-01 15:55:31
223,17,27.5281,2021-06-01 15:56:00
224,17,27.5281,2021-06-01 15:56:24
225,17,27.4604,2021-06-01 17:26:38
226,17,26.0305,2021-06-02 08:00:23
227,17,26.0305,2021-06-02 08:03:18
228,17,26.0305,2021-06-02 08:04:57
229,17,26.0305,2021-06-02 08:15:29
230,17,26.0305,2021-06-02 08:16:12
231,17,26.0305,2021-06-02 08:16:37
232,17,26.0305,2021-06-02 08:16:51
233,17,26.0305,2021-06-02 08:17:20
234,17,26.3483,2021-06-02 08:18:45
235,17,26.3483,2021-06-02 08:19:38
236,17,26.3483,2021-06-02 08:20:39
237,17,26.3483,2021-06-02 08:22:10
238,17,26.3483,2021-06-02 08:22:35
239,17,26.3483,2021-06-02 08:23:06
240,17,26.3483,2021-06-02 08:24:13
241,17,26.3483,2021-06-02 08:25:01
242,17,26.3483,2021-06-02 08:26:01
243,17,26.3483,2021-06-02 08:30:43
244,17,26.3483,2021-06-02 08:31:23
245,17,26.3483,2021-06-02 08:33:24
246,17,26.3483,2021-06-02 08:33:37
247,17,26.3483,2021-06-02 08:37:00
248,17,26.3483,2021-06-02 08:37:31
249,17,26.3483,2021-06-02 08:38:22
250,17,26.3483,2021-06-02 08:38:51
251,17,26.3483,2021-06-02 08:39:01
252,17,26.3483,2021-06-02 08:39:31
253,17,26.3483,2021-06-02 08:40:10
254,17,26.3483,2021-06-02 08:42:25
255,17,26.3483,2021-06-02 08:42:42
256,17,26.3483,2021-06-02 08:43:00
257,17,26.5591,2021-06-02 08:49:26
258,17,26.5591,2021-06-02 08:52:06
259,17,26.5591,2021-06-02 08:53:23
260,17,26.5591,2021-06-02 08:53:54
261,17,26.5591,2021-06-02 08:54:06
262,17,26.5591,2021-06-02 08:54:15
263,17,26.5591,2021-06-02 08:54:26
264,17,26.5591,2021-06-02 08:54:35
265,17,26.5591,2021-06-02 08:54:45
266,17,26.5591,2021-06-02 08:54:59
267,17,26.5591,2021-06-02 08:55:21
268,17,26.5591,2021-06-02 08:55:41
269,17,26.5262,2021-06-02 09:35:06
270,17,26.5262,2021-06-02 09:41:28
271,17,26.5262,2021-06-02 09:44:37
272,17,26.6094,2021-06-02 09:52:56
273,17,26.6094,2021-06-02 10:08:59
274,17,26.6094,2021-06-02 10:09:27
275,17,26.6094,2021-06-02 10:10:16
276,17,26.6094,2021-06-02 10:13:03
277,17,26.6094,2021-06-02 10:13:31
278,17,27.2991,2021-06-02 10:26:01
279,17,27.2991,2021-06-02 10:27:57
280,17,27.2991,2021-06-02 10:36:05
281,17,27.2991,2021-06-02 10:36:18
282,17,27.2991,2021-06-02 10:37:05
283,17,27.2991,2021-06-02 10:38:38
284,17,27.2991,2021-06-02 10:40:32
285,17,27.2991,2021-06-02 10:40:45
286,17,27.2991,2021-06-02 10:46:05
287,17,27.2991,2021-06-02 10:46:51
288,17,27.4695,2021-06-02 10:55:18
289,17,27.4695,2021-06-02 11:04:52
290,17,27.4695,2021-06-02 11:07:24
291,17,27.4695,2021-06-02 11:17:54
292,17,27.6516,2021-06-02 11:20:42
293,17,27.6516,2021-06-02 11:21:32
294,17,27.6516,2021-06-02 11:21:57
295,17,27.6516,2021-06-02 11:22:40
296,17,27.6516,2021-06-02 11:24:41
297,17,27.6516,2021-06-02 11:35:53
298,17,27.6516,2021-06-02 11:36:26
299,17,27.6516,2021-06-02 11:37:16
300,17,27.6516,2021-06-02 11:38:08
301,17,27.6516,2021-06-02 11:40:04
302,17,27.6516,2021-06-02 11:40:21
303,17,27.6516,2021-06-02 11:41:49
304,17,27.6516,2021-06-02 11:42:35
305,17,27.6516,2021-06-02 11:42:46
306,17,27.6516,2021-06-02 11:43:00
307,17,27.6516,2021-06-02 11:44:48
308,17,27.6516,2021-06-02 11:45:16
309,17,27.6516,2021-06-02 11:46:30
310,17,27.6516,2021-06-02 11:46:45
311,17,27.6516,2021-06-02 11:47:20
312,17,27.5601,2021-06-02 11:50:42
313,17,27.5601,2021-06-02 11:53:21
314,17,27.5601,2021-06-02 11:54:17
315,17,27.6457,2021-06-02 12:43:37
316,17,27.6338,2021-06-02 13:50:13
317,17,27.3365,2021-06-02 16:24:12
318,17,27.3365,2021-06-02 16:25:11
319,17,27.3365,2021-06-02 16:25:37
320,17,27.3365,2021-06-02 16:26:10
321,17,27.3365,2021-06-02 16:29:54
322,17,27.3365,2021-06-02 16:30:56
323,17,27.3365,2021-06-02 16:39:19
324,17,27.3365,2021-06-02 16:40:23
325,17,27.3365,2021-06-02 16:40:33
326,17,26.7109,2021-06-02 18:20:30
327,17,24.8296,2021-06-03 07:44:24
